epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,743.368,1.053,0.91408,1.20235,0.82097,0.54805,0.6726,0.46673,1.31652,1.23007,1.44818,0.000897313,0.000897313,0.000897313
59,755.984,1.01484,0.87666,1.22285,0.87003,0.53859,0.66552,0.46075,1.32788,1.18384,1.45385,0.000891125,0.000891125,0.000891125
60,768.648,1.02413,0.86178,1.20361,0.8082,0.55117,0.66602,0.45674,1.32477,1.21498,1.45023,0.000884938,0.000884938,0.000884938
61,781.226,1.05979,0.84902,1.22468,0.83153,0.57651,0.66982,0.45197,1.30476,1.22339,1.43606,0.00087875,0.00087875,0.00087875
62,793.911,1.03298,0.82824,1.21114,0.81213,0.53569,0.65317,0.45038,1.32641,1.21425,1.45402,0.000872563,0.000872563,0.000872563
63,806.551,1.04957,0.86548,1.22443,0.79297,0.55287,0.65508,0.45443,1.34255,1.27553,1.4794,0.000866375,0.000866375,0.000866375
64,819.101,1.02288,0.84232,1.20934,0.7724,0.5651,0.6622,0.46389,1.3328,1.23802,1.44923,0.000860188,0.000860188,0.000860188
65,831.699,1.04346,0.81177,1.21111,0.78576,0.56568,0.66831,0.45388,1.34074,1.18057,1.46067,0.000854,0.000854,0.000854
66,844.265,1.01045,0.79483,1.19818,0.81461,0.57173,0.66397,0.45914,1.36204,1.24571,1.48518,0.000847813,0.000847813,0.000847813
67,856.792,1.03575,0.84252,1.21284,0.81804,0.54481,0.67115,0.46465,1.3292,1.27196,1.47795,0.000841625,0.000841625,0.000841625
68,869.384,1.07866,0.8745,1.29761,0.84526,0.5174,0.63427,0.43234,1.354,1.30011,1.49476,0.000835438,0.000835438,0.000835438
69,881.965,1.03603,0.88011,1.23761,0.76823,0.56204,0.65656,0.46159,1.28399,1.28746,1.40095,0.00082925,0.00082925,0.00082925
70,894.582,1.01041,0.83109,1.19562,0.77211,0.54433,0.6455,0.44753,1.29359,1.27495,1.42728,0.000823063,0.000823063,0.000823063
71,907.208,0.99322,0.78292,1.19634,0.80953,0.55729,0.67284,0.4669,1.31802,1.13897,1.44904,0.000816875,0.000816875,0.000816875
72,919.84,0.97578,0.77012,1.17178,0.79508,0.56706,0.6744,0.46969,1.29672,1.20399,1.44413,0.000810688,0.000810688,0.000810688
73,932.536,1.02043,0.79475,1.19563,0.84682,0.55084,0.67399,0.46257,1.29425,1.21524,1.42602,0.0008045,0.0008045,0.0008045
74,945.213,1.05693,0.80319,1.21435,0.74346,0.58876,0.6478,0.45303,1.30682,1.27117,1.42053,0.000798313,0.000798313,0.000798313
75,957.88,0.98255,0.76978,1.19294,0.74252,0.61386,0.677,0.47601,1.30915,1.22114,1.40828,0.000792125,0.000792125,0.000792125
76,970.471,1.00353,0.76228,1.19124,0.78611,0.53054,0.64251,0.45296,1.28443,1.25897,1.41328,0.000785938,0.000785938,0.000785938
77,983.031,1.00907,0.80143,1.20615,0.81608,0.57499,0.66702,0.46993,1.30015,1.2264,1.44554,0.00077975,0.00077975,0.00077975
78,995.673,0.95343,0.74079,1.1732,0.77089,0.60508,0.69025,0.47967,1.27086,1.15919,1.41459,0.000773563,0.000773563,0.000773563
79,1008.23,0.95065,0.76122,1.17286,0.78005,0.5451,0.66955,0.44977,1.30003,1.21633,1.44347,0.000767375,0.000767375,0.000767375
80,1021.07,0.97275,0.7598,1.19326,0.76721,0.55568,0.65405,0.45556,1.33518,1.24333,1.44834,0.000761188,0.000761188,0.000761188
81,1033.66,0.97282,0.77322,1.1845,0.82565,0.55938,0.67107,0.47582,1.30138,1.24488,1.45547,0.000755,0.000755,0.000755
82,1046.25,0.99167,0.7738,1.18753,0.72744,0.60397,0.67264,0.47104,1.30503,1.21474,1.41642,0.000748813,0.000748813,0.000748813
83,1058.84,0.96927,0.7464,1.1644,0.79159,0.55108,0.66699,0.44866,1.34122,1.22907,1.49318,0.000742625,0.000742625,0.000742625
84,1071.42,0.9877,0.7705,1.17943,0.72339,0.60039,0.6571,0.45848,1.30153,1.3053,1.43603,0.000736438,0.000736438,0.000736438
85,1084.14,0.9514,0.73307,1.16316,0.7736,0.57744,0.67062,0.47095,1.29008,1.23348,1.44697,0.00073025,0.00073025,0.00073025
86,1096.72,0.933,0.71575,1.14768,0.79142,0.54546,0.66507,0.4708,1.29521,1.18061,1.42454,0.000724062,0.000724062,0.000724062
87,1109.22,0.95476,0.70437,1.151,0.77336,0.55884,0.65645,0.45611,1.31426,1.17748,1.43378,0.000717875,0.000717875,0.000717875
88,1121.95,0.9436,0.72467,1.15387,0.84016,0.54249,0.67361,0.47071,1.32712,1.31818,1.44418,0.000711687,0.000711687,0.000711687
89,1134.54,0.94685,0.72573,1.17116,0.81148,0.55152,0.66338,0.4645,1.31436,1.20424,1.43431,0.0007055,0.0007055,0.0007055
90,1147.16,0.95648,0.76046,1.16846,0.76512,0.56328,0.66368,0.4657,1.29378,1.17407,1.41531,0.000699312,0.000699312,0.000699312
91,1159.67,0.94375,0.76105,1.16691,0.79061,0.57589,0.67584,0.47169,1.27326,1.16604,1.41808,0.000693125,0.000693125,0.000693125
92,1172.12,0.93362,0.71858,1.14185,0.77975,0.57714,0.6645,0.47637,1.28392,1.27261,1.42966,0.000686937,0.000686937,0.000686937
93,1184.68,0.96865,0.7262,1.15817,0.69843,0.61858,0.67231,0.46116,1.31808,1.23374,1.47164,0.00068075,0.00068075,0.00068075
94,1197.24,0.97065,0.71458,1.15183,0.77696,0.57451,0.67137,0.47571,1.29072,1.22999,1.42502,0.000674562,0.000674562,0.000674562
95,1209.82,0.91026,0.7031,1.1311,0.82881,0.54075,0.66691,0.4708,1.29744,1.21469,1.44218,0.000668375,0.000668375,0.000668375
96,1222.29,0.97803,0.7963,1.23641,0.77475,0.59213,0.67545,0.46868,1.30637,1.13365,1.41907,0.000662188,0.000662188,0.000662188
97,1234.81,0.94523,0.73353,1.15268,0.77789,0.56765,0.66446,0.45139,1.33451,1.24374,1.47107,0.000656,0.000656,0.000656
98,1247.45,0.9188,0.68323,1.1338,0.76708,0.59359,0.68039,0.46895,1.27516,1.18742,1.44943,0.000649813,0.000649813,0.000649813
99,1259.97,0.92916,0.68901,1.15657,0.80877,0.55977,0.68442,0.4707,1.29734,1.17163,1.46522,0.000643625,0.000643625,0.000643625
100,1272.57,0.91048,0.68242,1.13962,0.791,0.56548,0.67196,0.47198,1.29293,1.19062,1.41775,0.000637437,0.000637437,0.000637437
101,1285.24,0.92376,0.71167,1.14902,0.73127,0.61683,0.67473,0.47563,1.31833,1.25216,1.47825,0.00063125,0.00063125,0.00063125
102,1297.73,0.93585,0.70344,1.1437,0.72603,0.61109,0.67647,0.46908,1.28233,1.18717,1.4201,0.000625062,0.000625062,0.000625062
103,1310.31,0.87489,0.65541,1.11373,0.73553,0.58233,0.66598,0.47139,1.31043,1.29324,1.44268,0.000618875,0.000618875,0.000618875
