epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,899.122,1.04128,0.86828,1.21532,0.75192,0.55865,0.64102,0.43693,1.35246,1.27952,1.47558,0.000965375,0.000965375,0.000965375
71,911.726,1.02947,0.81339,1.22182,0.7976,0.57164,0.67646,0.47389,1.32889,1.19877,1.46277,0.00096125,0.00096125,0.00096125
72,924.442,0.99777,0.79843,1.18824,0.8163,0.56028,0.66762,0.47019,1.31194,1.19225,1.44117,0.000957125,0.000957125,0.000957125
73,936.99,1.04345,0.81534,1.21278,0.77981,0.56392,0.66406,0.45778,1.30484,1.2343,1.44559,0.000953,0.000953,0.000953
74,949.698,1.07595,0.82017,1.22671,0.77546,0.61306,0.66016,0.45731,1.33078,1.23833,1.45839,0.000948875,0.000948875,0.000948875
75,962.299,0.99212,0.76555,1.1954,0.80102,0.57784,0.66793,0.46719,1.31282,1.19932,1.45731,0.00094475,0.00094475,0.00094475
76,974.913,1.00349,0.78774,1.19809,0.75516,0.59446,0.66333,0.46568,1.30995,1.1877,1.4585,0.000940625,0.000940625,0.000940625
77,987.582,1.00358,0.81588,1.21103,0.73866,0.6082,0.67692,0.46378,1.33813,1.18764,1.46978,0.0009365,0.0009365,0.0009365
78,1000.14,0.965,0.7526,1.17705,0.82267,0.58802,0.69084,0.48141,1.32321,1.1285,1.46083,0.000932375,0.000932375,0.000932375
79,1012.74,0.98333,0.85603,1.19507,0.74044,0.59762,0.65663,0.46442,1.30141,1.23194,1.44903,0.00092825,0.00092825,0.00092825
80,1025.29,0.98336,0.77237,1.18951,0.72489,0.59195,0.66385,0.46094,1.31016,1.24249,1.45743,0.000924125,0.000924125,0.000924125
81,1037.91,1.01536,0.80537,1.2075,0.74748,0.58866,0.66291,0.45567,1.29353,1.19897,1.42742,0.00092,0.00092,0.00092
82,1050.6,1.01589,0.80032,1.20538,0.76555,0.57454,0.67762,0.47249,1.3247,1.16936,1.46375,0.000915875,0.000915875,0.000915875
83,1063.19,0.98731,0.77038,1.18085,0.72066,0.5999,0.6747,0.46763,1.32516,1.19098,1.45879,0.00091175,0.00091175,0.00091175
84,1075.84,1.01411,0.7964,1.19927,0.71438,0.62526,0.67096,0.4616,1.33569,1.24657,1.42948,0.000907625,0.000907625,0.000907625
85,1088.56,0.97893,0.76248,1.18511,0.71574,0.61086,0.66812,0.4615,1.33702,1.20181,1.45174,0.0009035,0.0009035,0.0009035
86,1101.24,0.94924,0.75256,1.16138,0.66497,0.61856,0.66129,0.46251,1.31297,1.18836,1.44771,0.000899375,0.000899375,0.000899375
87,1113.91,0.96611,0.72239,1.1651,0.73913,0.60518,0.66677,0.45277,1.32332,1.20885,1.46656,0.00089525,0.00089525,0.00089525
88,1126.41,0.96511,0.7461,1.16845,0.7121,0.60353,0.67194,0.47058,1.29459,1.2354,1.42971,0.000891125,0.000891125,0.000891125
89,1139.04,0.96593,0.73108,1.18684,0.75792,0.55949,0.65865,0.4592,1.32397,1.23967,1.44306,0.000887,0.000887,0.000887
90,1151.78,0.98471,0.7656,1.1835,0.78759,0.5675,0.656,0.45591,1.34255,1.18931,1.47412,0.000882875,0.000882875,0.000882875
91,1164.49,0.96277,0.75305,1.18032,0.73981,0.61118,0.66158,0.46495,1.31302,1.17718,1.46561,0.00087875,0.00087875,0.00087875
92,1177.44,0.96292,0.74642,1.16433,0.77452,0.56722,0.67348,0.48039,1.30109,1.17086,1.4237,0.000874625,0.000874625,0.000874625
